代码,名称,交易所,产品类型,合约乘数,PriceTick,持仓类型,持仓日期类型,平仓处理类型
j,冶金焦炭,DCE,1,100,0.5000,2,2,0
jm,焦煤,DCE,1,60,0.5000,2,2,0
m_o,豆粕期权,DCE,2,10,0.5000,2,2,0
rr,粳米,DCE,1,10,1.0000,2,2,0
a,黄大豆1号,DCE,1,10,1.0000,2,2,0
pp,聚丙烯,DCE,1,5,1.0000,2,2,0
i,铁矿石,DCE,1,100,0.5000,2,2,0
b,黄大豆2号,DCE,1,10,1.0000,2,2,0
l,线型低密度聚乙烯,DCE,1,5,5.0000,2,2,0
eg,乙二醇,DCE,1,10,1.0000,2,2,0
eb,苯乙烯,DCE,1,5,1.0000,2,2,0
fb,中密度纤维板,DCE,1,500,0.0500,2,2,0
jd,鲜鸡蛋,DCE,1,10,1.0000,2,2,0
m,豆粕,DCE,1,10,1.0000,2,2,0
p,棕榈油,DCE,1,10,2.0000,2,2,0
v,聚氯乙烯,DCE,1,5,5.0000,2,2,0
bb,细木工板,DCE,1,500,0.0500,2,2,0
cs,玉米淀粉,DCE,1,10,1.0000,2,2,0
c_o,玉米期权,DCE,2,10,0.5000,2,2,0
y,豆油,DCE,1,10,2.0000,2,2,0
c,黄玉米,DCE,1,10,1.0000,2,2,0
